testid,duration,top_n_beacons,algorithm,building,floor_true,x_true,y_true,floor_est,x_est,y_est,error,floor_error
"Test66732",5,3,2,"AM",1,6.687747886064955,9.335978090938358,1,5.14392248573078,13.849401085849667,4.770155552779296,0
"Test67062",5,3,2,"AM",1,6.449828972118311,15.517074327802032,1,15.959342000548617,17.423533673583623,9.698733178874635,0
"Test92679",5,3,2,"AM",1,14.06323499663068,9.573717107650348,1,11.461651741057034,6.30065254263031,4.181050954302156,0
"Test85276",5,3,2,"AM",1,16.44242569253671,14.328404127957462,1,15.14523898867561,27.65225185934067,13.386844725840344,0
"Test44416",5,3,2,"AM",1,12.635721512950822,13.37746672389604,1,20.559272394175803,16.2772585521699,8.437502664573508,0
"Test96786",5,3,2,"SB",1,0.841197,33.400914,1,4.277055344595438,29.969630762325377,4.8558034578505085,0
"Test23667",5,3,2,"SB",1,15.864222,17.811294,1,13.352694774961995,23.11378940704014,5.867216251663892,0
"Test54312",5,3,2,"AM",1,3.441853,57.477196,1,6.435431315859907,38.427700962756106,19.283277011627625,0
"Test67455",5,3,2,"AM",1,3.936385,57.477196,1,7.325577901633774,68.47683912662075,11.50994254709813,0
"FAKE_TEST",5,3,2,"Building",1,1234.0,1234.0,1,25.992548860398824,22.59523975350844,1710.7844677681219,0
"FAKE_TEST_2",5,3,2,"SB",1,0.0,0.0,1,25.992548860398824,22.59523975350844,34.44063669241247,0
"FAKE_TEST_3",5,3,2,"SB",1,0.0,0.0,1,16.20335328816491,11.697814879097484,19.984682402448108,0
"Test37317",3,3,2,"SB",1,15.6973,18.69581,1,9.63707808651989,14.320825457220874,7.47440829699454,0
"Test30680",5,3,2,"SB",1,15.6973,18.69581,1,10.775895847431356,16.740112948212502,5.295750163224302,0
"Test3673",10,3,2,"SB",1,15.6973,18.69581,1,23.42619339712901,24.798543704885443,9.847799338782709,0
"Test97265",10,3,2,"SB",1,12.859617,8.579143,1,10.457394631124895,8.51580654629417,2.4030571811531973,0
"Test5444",5,3,2,"SB",1,12.859617,8.579143,1,14.14984200880429,12.076716969839396,3.727962479403748,0
"Test57831",3,3,2,"SB",1,12.859617,8.579143,1,10.457394631124895,8.51580654629417,2.4030571811531973,0
"Test48762",2,3,2,"SB",1,4.680414,8.579143,1,14.14984200880429,12.076716969839396,10.09470606250748,0
"Test62912",3,3,2,"SB",1,4.680414,8.579143,1,14.149841911397923,12.076717050022692,10.094705998916172,0
"Test43488",2,3,2,"SB",1,4.012724,0.618484,1,18.75638574801779,17.7474318186885,22.6003631633502,0
"Test82603",3,3,2,"SB",1,4.012724,0.618484,1,14.149841911397923,12.076717050022692,15.29876675350719,0
"Test11881",5,3,2,"SB",1,4.012724,0.618484,1,14.14984200880429,12.076716969839396,15.298766757995194,0
"Test50448",10,3,2,"SB",1,4.012724,0.618484,1,14.14984200880429,12.076716969839396,15.298766757995194,0
"Test56319",10,3,2,"SB",1,28.717257,9.90592,1,28.24046396615623,9.116470574160207,0.9222591789083613,0
"Test12599",5,3,2,"SB",1,28.717257,9.90592,1,20.174380436452157,9.828547355108832,8.543226937533174,0
"Test81912",3,3,2,"SB",1,28.717257,9.90592,1,28.55854074979958,9.807504132129893,0.18675259335899172,0
"Test62385",2,3,2,"SB",1,28.717257,9.90592,1,28.730979048038368,9.945988617215953,0.04235314259846386,0
"Test94942",2,3,2,"SB",1,27.548798,34.119584,1,25.01605197781979,23.816700667159523,10.60962805111432,0
"Test12935",3,3,2,"SB",1,27.548798,34.119584,1,29.40326894862718,35.081978261969304,2.089321711650367,0
