testid,building_id,t_floor,t_x,t_y,interval,bt_major,bt_minor,bt_floor,bt_x,bt_y,rssi
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,537,1,22.931007603118402,60.85959261002064,-82,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,537,1,22.931007603118402,60.85959261002064,-83,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,537,1,22.931007603118402,60.85959261002064,-89,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,537,1,22.931007603118402,60.85959261002064,-100,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,534,1,23.005985968048318,49.39659185422822,-105,
"Test12418","AM",1,3.594801226538799,56.88285995825111,10,1000,534,1,23.005985968048318,49.39659185422822,-106,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,584,1,14.758214851116394,38.00851285497156,-95,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,584,1,14.758214851116394,38.00851285497156,-93,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,584,1,14.758214851116394,38.00851285497156,-94,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,579,1,15.657972351110983,68.35175042702784,-101,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,579,1,15.657972351110983,68.35175042702784,-103,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,579,1,15.657972351110983,68.35175042702784,-95,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,579,1,15.657972351110983,68.35175042702784,-99,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,592,1,4.78590982289451,45.725435115368946,-69,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,592,1,4.78590982289451,45.725435115368946,-69,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,592,1,4.78590982289451,45.725435115368946,-73,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,592,1,4.78590982289451,45.725435115368946,-70,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,592,1,4.78590982289451,45.725435115368946,-69,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,592,1,4.78590982289451,45.725435115368946,-69,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,592,1,4.78590982289451,45.725435115368946,-69,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,534,1,23.005985968048318,49.39659185422822,-99,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,534,1,23.005985968048318,49.39659185422822,-103,
"Test16545","AM",1,4.308557968378728,49.750827094942125,10,1000,534,1,23.005985968048318,49.39659185422822,-100,
