testid,beacon_major,beacon_minor,b_building,b_floor,b_x,b_y,rssi,duration,building,floor_true,x_true,y_true,floor_est,x_est,y_est,error,floor_error
"316",101,183,"Building",1,7.455050292,42.9744854671,-95.2459513323,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"316",101,119,"Building",2,9.60041468039,37.2922101962,-95.6427989476,10,"Building",2,27.7016405859,46.324726442,2,27.160769881007848,43.89259802800266,2.491543646333283,0
"317",101,145,"Building",2,28.0508562441,35.899050609,-56.3289918446,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,181,"Building",2,25.9957380122,37.1919604126,-60.4262137998,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,195,"Building",2,28.2514109496,43.2173130662,-64.2816903595,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,205,"Building",1,26.0969946416,37.018767846,-65.4668308295,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,156,"Building",2,24.3411640007,31.8285761878,-68.5471589218,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,163,"Building",2,28.2012726619,22.9166535704,-71.8284360211,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,125,"Building",1,28.0346166835,43.2672430536,-73.1332863781,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,182,"Building",1,27.9288969593,51.3350420929,-75.3200760204,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,160,"Building",1,27.8590484144,28.7765687751,-76.0016075279,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,170,"Building",2,28.3516883481,50.5857000951,-76.3315011155,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,148,"Building",2,28.2520373136,15.4843176138,-78.1427210416,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,167,"Building",1,23.1016394277,24.4784397593,-81.7459501157,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
"317",101,166,"Building",2,24.4408774887,53.4428297631,-81.9172093175,10,"Building",2,27.9021953829,39.1067143171,2,28.144566824738003,38.62098501023521,0.5428414827239921,0
